단어,IT/과학,경제,문화,미용/건강,사회,생활,스포츠,연예,정치
가격,0.0018813469633222751,0.0044949496476595005,,0.0014845308513086217,0.0015586292836255076,0.003315304124873753,,,
가결,,,,,,,,,0.0014201091264724516
가계,,0.0013796324080818582,,,,,,,
가구,,0.003796850930820592,,,0.00120135074866467,0.0014195272450039363,,,
가능,,0.0009069693295973877,,,,,,,
가능성,0.0018584474390131878,0.0026438071233569876,,0.0014886975898643594,0.001543945016735903,0.001022271343840286,0.0021653629354819715,,0.002290863698493861
가능하다,0.004226553506098645,0.00342821747979347,0.002120864884576126,0.003141086868772885,0.002014134150862197,0.0032331125747829047,0.0013762506734260643,,0.0016279241993992625
가다,0.007022571581326026,0.005374656956367942,0.007405577076911379,0.004852731725159409,0.004404221970485221,0.005078659604416366,0.007385796349226976,0.008321226813110929,0.004267636446727564
가득,,,0.0007572401764928724,,,,,0.0008013108333085647,
가득하다,,,0.0007550395309213805,,,,,0.0010070329018788604,
가량,,0.0009902653854511941,,,,,,,
가르다,,,,,,,0.0007768099392082494,,
가면,,,,,,,,0.0008362079619719517,
가사,,,,,,,,0.0011590513778682481,
가상,0.001294980989334428,0.0012377546249084154,,,,,,,
가속,0.0008310498294673021,,,,,,,,
가수,,,0.0029324322798575365,,,,,0.005097953531971693,
가스,,0.001089759732313164,,,,,,,
가슴,,,,,,,,0.0011800349367960669,
가요,,,,,,,,0.0009315174200586287,
가운데,0.002106853294636357,0.0027120168782990535,0.0019390006951132545,0.00182091215662955,0.002403160695478138,0.00208867419451789,0.0022497973106605663,0.002841354736180548,0.002016754973108019
가을,,,0.0010684136510845004,,,0.0010855437401691287,0.0008992971598451193,,
가입,0.0011416599484192578,0.0024352177885014815,,,,,,,
가입자,0.0012340394155320807,,,,,,,,
가장,0.00289108013976033,0.0033560467916579125,0.0025748725273424824,0.0027413479404508013,0.0021869982231511585,0.0026981310818211977,0.0033238556364428256,0.0021734538004820492,0.002293040748291384
가장 높다,,0.0008692904860204383,,,,,,,
가전,0.0021250385100058887,,,,,,,,
가정,,,,0.0009369495307358534,0.0010414906366313535,0.0018035592760709727,,,
가족,,,0.002360981886839352,0.0018074658668857466,0.0020266350299177434,0.0030647484418237047,0.000903558244347163,0.002289049092147087,
가지,0.0015780909357352559,0.0009466945809563982,0.0014477863376585064,0.0017640690820897949,0.0011918739850166535,0.0013975043245129837,0.0012183108636425093,0.00133774972746487,0.0017234184557668691
가지다,0.0013597252311291917,,0.0019228066977326097,0.001453864174250131,0.0015222090069844086,0.001321213724838748,0.001365947259450344,0.0015405824757701032,0.0016821726317502923
가치,0.0018038961726178006,0.0020818639653299807,0.0012703616102157603,0.0014729534931554413,0.0009909597145458312,0.0017925841569067678,0.0008557584428192915,,0.0010400365086821804
각각,0.0017014308199370073,0.00280448695366197,0.0010398626622133817,0.0013253272393056713,0.0011883026007096817,0.0014610242563988488,0.0012821101547096558,0.0007981319128849187,0.0011830468362598711
각오,,,,,,,0.0009664209766849574,,
각자,,,,,,,,0.0010151957730960466,
각종,0.0009688283126447046,0.0008789761970572648,,0.000825293658277084,0.0010734563666027772,0.0010940096039766733,,0.002145537218777923,0.0010221624624051117
각종 온라인,,,,,,,,0.0008108447179747373,
각종 음원,,,,,,,,0.0008278501707270773,
간다,,,0.0008170890601199561,,,,,0.0010212981919504253,
간담,,,,0.0008749251615818493,0.001108239827644034,,,,0.002113282424375509
간호,,,,0.0015673382361162125,,,,,
간호사,,,,0.0015809475399614725,,,,,
갈다,,,0.0009657838362146485,,,,0.0009952887013835797,0.0013425871555047045,0.0010490307405233352
갈등,,,,,,,,,0.001425004000495264
감다,,0.000912210592811242,,,,,,,
감독,0.0008253623514110615,,0.008609189888022614,,,,0.01129011899465197,0.0018982908123829528,
감독 이끌다,,,,,,,0.0008906097237191645,,
감동,,,0.0016971685556472816,,,,,0.0013640253204555907,
감사,,0.000953679628497651,0.0013619682058176492,0.0009487784311433916,0.0019150327497954578,0.0011372504144972035,0.000958938176855953,0.0010122635541108917,0.0027831497443082014
감사하다,,,0.001383158487567121,,,,0.0008427778563793626,0.0015903504219296337,
감상,,,0.001014520530135802,,,,,,
감성,,,0.0011890198091439423,,,,,0.0017666991495537464,
감소,0.0017014912028837685,0.0038429275015833897,,0.002112507211797091,0.0016705852758937619,0.001401589700928002,,,0.0009705214431538417
감소 하다,,0.0020202093408594564,,,,,,,
감염,,,,0.0019115846588864016,,,,,
감염병,,,,0.0017434316994777753,,,,,
감정,,,0.0014238844554180109,,,,,0.0017855553436843768,
감추다,,,,,,,,0.0007468770570311415,
감축,,0.0008569700043707453,,,,,,,
감탄,,,,,,,,0.0013547749469495702,
갑자기,,,,,,,,0.0008113947981802841,
강남,,,,,,,,0.0009511933677427931,
강력하다,,,,,,,0.0008024780184081445,,0.0008481103919439538
강렬하다,,,0.0013704917640968246,,,,,0.0013924979742634875,
강사,,,,,0.0009272962893384305,,,,
강서구,,,,,,,,,0.0011044610455222365
강서구 청장,,,,,,,,,0.0008536123575900951
강세,,0.0011501140061751344,,,,,,,
강연,,,0.0010033576265953068,,,,,,
강원,,,,,,0.0010352062132097221,0.0011241020012907057,,
강전,,,,,,,0.0007990013873877636,,
강제,,,,,0.001035809312785127,,,,
강조,0.002088506556238679,0.001632569314416704,0.0009898484116178591,0.0017205321585431967,0.0022164426571567634,0.0013151165219238308,0.0013623579573302702,0.0008006802145819012,0.004682002086224426
강조 하다,0.0018780766113407187,0.00147406165575262,0.0008476441215993792,0.0015426250351880564,0.0019883982914310713,0.0011366170452706357,0.0012673281834141088,,0.004354617816488371
강하다,,,,,,0.0008018204044572226,0.0015291367004206,0.0009815962783176757,0.0010928273017750997
강화,0.002347470539855134,0.002106695853559858,,0.0020992922063125374,0.002529195843925843,0.0015734883741936017,,,0.0019870977653265475
강화하다,0.0021728220723707652,0.0016997948745727332,,0.0016163153096169947,0.0017517917481752118,0.0013858528678885014,,,0.0013838226028949061
갖다,0.0010427282995527987,,0.0012584237991941343,0.0011112429556893308,0.0011004301742874247,0.0009200961319620782,0.0013124546517277918,0.0010077374110365003,0.0017509629246457866
갖추다,0.0015785842521561266,0.0012968870296279525,,0.0013969487673666156,0.0009181170257916596,0.0013495902900575953,0.0008590961505008514,,
같다,0.0040018230713910405,0.00405748717159166,0.005235606188843389,0.0035791645021927836,0.003505652907455101,0.0032237138682576195,0.004392567050600444,0.006611995500830074,0.0040964646057931745
같다 기간,,0.0013657277925666694,,,,,,,
같다 하다,,,,,,,,0.0009565279294656376,
개관,,,0.0009598525826957698,,,,,,
개국,0.0008737974907552378,,0.0008137294869305137,,,,,,
개그맨,,,,,,,,0.0009247919929671732,
개다,,,0.0009339534774255067,0.0009221868686541552,,0.0010964898702089674,,,
개막,,,0.00137180908381764,,,,0.0016414828930351184,,
개막식,,,0.0008538141585651476,,,,,,
개막전,,,,,,,0.0013187524192606183,,
개발,0.008199921758172725,0.00437728883254434,0.000799971392291551,0.006157864895784936,0.0027397378126250817,0.0033146780561560743,,,0.0023595781280942056
개발 하다,0.0020462973261521932,,,0.0012786264050151988,,,,,
개발자,0.0010627570542390144,,,,,,,,
개방,,,,,,0.0008852871249668964,,,
개별,,0.0011074842330008395,,,,,,,
개봉,,,0.0059616429484607185,,,,,,
개봉 하다,,,0.002344540177504513,,,,,,
개선,0.0026035175596705925,0.00401119817278024,,0.003367814402243902,0.002868256702505263,0.0029274438730914083,,,0.0027698981767512064
개원,,,,0.0010291991245063407,,,,,
개월,0.0010654630044321654,0.003093483649813782,0.000754373816795283,0.001516167118228623,0.0016933462785483082,0.001584227571345062,0.0010843649892329145,0.0016810277359550192,0.001319291855156821
개인,0.00179101833147759,0.002874456566596047,0.0017445820216912327,0.0013383269681938332,0.0011101397115962004,0.0012659650306717123,0.0019199429750137375,0.0013261579872184926,0.0010554066409493152
개인정보,0.00162884936648808,,,,,,,,
개장,,,,,,0.0010446348475974553,,,
개정,,0.0011037505171296418,,,0.0010419477340447014,,,,0.0022148593046625053
개정안,,,,,,,,,0.0020451645087464837
개최,0.003483218755266859,0.0018977791649385986,0.007081707366592143,0.003156151398426028,0.003709815093498689,0.004685643429361706,0.0031495890787853653,0.0016180092145845323,0.0036160270242642373
