단어,IT/과학,경제,문화,미용/건강,사회,생활,스포츠,연예,정치
가격,0.0009406734816611,0.00224747482382975,0.0,0.0007422654256543,0.00077931464181275,0.00165765206243685,0.0,0.0,0.0
가결,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007100545632362
가계,0.0,0.0006898162040409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
가구,0.0,0.00189842546541025,0.0,0.0,0.0006006753743323,0.00070976362250195,0.0,0.0,0.0
가깝다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014107677459260016
가능,0.0,0.00045348466479865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
가능성,0.00092922371950655,0.00132190356167845,0.0,0.00074434879493215,0.00077197250836795,0.0005111356719201,0.00108268146774095,0.0,0.005847991002333572
가능하다,0.0021132767530493,0.0017141087398967,0.00106043244228805,0.0015705434343864,0.00100706707543105,0.00161655628739145,0.000688125336713,0.0,0.0031550187215623133
가다,0.003511285790663,0.00268732847818395,0.00370278853845565,0.0024263658625797,0.0022021109852426,0.00253932980220815,0.00369289817461345,0.00416061340655545,0.011610497212301457
가득,0.0,0.0,0.0003786200882464,0.0,0.0,0.0,0.0,0.00040065541665425,0.0
가득하다,0.0,0.0,0.00037751976546065,0.0,0.0,0.0,0.0,0.0005035164509394,0.0
가량,0.0,0.00049513269272555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
가르다,0.0,0.0,0.0,0.0,0.0,0.0,0.0003884049696041,0.0,0.0
가면,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041810398098595,0.0
가사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005795256889341,0.0
가상,0.0006474904946672,0.0006188773124542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
가속,0.00041552491473365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
가수,0.0,0.0,0.00146621613992875,0.0,0.0,0.0,0.0,0.0025489767659858,0.0
가스,0.0,0.00054487986615655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
가슴,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000590017468398,0.0
가요,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004657587100293,0.0
가운데,0.00105342664731815,0.0013560084391495,0.0009695003475566,0.00091045607831475,0.00120158034773905,0.0010443370972589,0.00112489865533025,0.00142067736809025,0.003615230930112916
가을,0.0,0.0,0.00053420682554225,0.0,0.0,0.00054277187008455,0.00044964857992255,0.0,0.0
가입,0.0005708299742096,0.0012176088942507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
가입자,0.000617019707766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
가장,0.00144554006988015,0.00167802339582895,0.0012874362636712,0.0013706739702254,0.00109349911157555,0.00134906554091055,0.0016619278182214,0.001086726900241,0.007045165224865237
가장 높다,0.0,0.0004346452430102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
가전,0.0010625192550029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
가정,0.0,0.0,0.0,0.0004684747653679,0.00052074531831565,0.00090177963803545,0.0,0.0,0.0013903218365647553
가족,0.0,0.0,0.00118049094341965,0.00090373293344285,0.00101331751495885,0.00153237422091185,0.00045177912217355,0.0011445245460735,0.0058781989413583405
가지,0.0007890454678676,0.00047334729047815,0.00072389316882925,0.00088203454104485,0.0005959369925083,0.00069875216225645,0.00060915543182125,0.0006688748637324,0.008089338187084003
가지다,0.00067986261556455,0.0,0.0009614033488663,0.00072693208712505,0.0007611045034922,0.00066060686241935,0.00068297362972515,0.00077029123788505,0.0027016640677485224
가짜,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010120725133816969
가치,0.0009019480863089,0.00104093198266495,0.00063518080510785,0.0007364767465777,0.0004954798572729,0.00089629207845335,0.0004278792214096,0.0,0.0013787464475133989
각각,0.0008507154099685,0.00140224347683095,0.00051993133110665,0.0006626636196528,0.0005941513003548,0.0007305121281994,0.0006410550773548,0.00039906595644245,0.0017978320704434376
각오,0.0,0.0,0.0,0.0,0.0,0.0,0.00048321048834245,0.0,0.0
각자,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000507597886548,0.0
각종,0.00048441415632235,0.0004394880985286,0.0,0.0004126468291385,0.00053672818330135,0.0005470048019883,0.0,0.00107276860938895,0.00051108123120255
각종 온라인,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040542235898735,0.0
각종 음원,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004139250853635,0.0
간다,0.0,0.0,0.00040854453005995,0.0,0.0,0.0,0.0,0.0005106490959752,0.0
간담,0.0,0.0,0.0,0.0004374625807909,0.000554119913822,0.0,0.0,0.0,0.00105664121218775
간호,0.0,0.0,0.0,0.0007836691180581,0.0,0.0,0.0,0.0,0.0
간호사,0.0,0.0,0.0,0.0007904737699807,0.0,0.0,0.0,0.0,0.0
갈다,0.0,0.0,0.0004828919181073,0.0,0.0,0.0,0.00049764435069175,0.00067129357775235,0.005063507248458351
갈등,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016018990574618182
감다,0.0,0.0004561052964056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
감당,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011347479695491753
감독,0.0004126811757055,0.0,0.0043045949440113,0.0,0.0,0.0,0.00564505949732595,0.00094914540619145,0.0
감독 이끌다,0.0,0.0,0.0,0.0,0.0,0.0,0.00044530486185955,0.0,0.0
감동,0.0,0.0,0.0008485842778236,0.0,0.0,0.0,0.0,0.00068201266022775,0.0
감사,0.0,0.0004768398142488,0.0006809841029088,0.00047438921557165,0.0009575163748977,0.0005686252072486,0.00047946908842795,0.0005061317770554,0.0013915748721541
감사하다,0.0,0.0,0.00069157924378355,0.0,0.0,0.0,0.00042138892818965,0.0007951752109648,0.0008996200118948416
감상,0.0,0.0,0.0005072602650679,0.0,0.0,0.0,0.0,0.0,0.0
감성,0.0,0.0,0.00059450990457195,0.0,0.0,0.0,0.0,0.00088334957477685,0.0
감소,0.00085074560144185,0.00192146375079165,0.0,0.0010562536058985,0.00083529263794685,0.000700794850464,0.0,0.0,0.0004852607215769
감소 하다,0.0,0.0010101046704297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
감염,0.0,0.0,0.0,0.0009557923294432,0.0,0.0,0.0,0.0,0.0
감염병,0.0,0.0,0.0,0.00087171584973885,0.0,0.0,0.0,0.0,0.0
감옥,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013187611538003929
감정,0.0,0.0,0.000711942227709,0.0,0.0,0.0,0.0,0.00089277767184215,0.0
감추다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037343852851555,0.0
감축,0.0,0.00042848500218535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
감탄,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00067738747347475,0.0
갑자기,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004056973990901,0.0
강남,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047559668387135,0.0
강력하다,0.0,0.0,0.0,0.0,0.0,0.0,0.00040123900920405,0.0,0.0016405868029661108
강렬하다,0.0,0.0,0.0006852458820484,0.0,0.0,0.0,0.0,0.0006962489871317,0.0
강사,0.0,0.0,0.0,0.0,0.0004636481446692,0.0,0.0,0.0,0.0
강서구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005522305227611
강서구 청장,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000426806178795
강세,0.0,0.00057505700308755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강연,0.0,0.0,0.00050167881329765,0.0,0.0,0.0,0.0,0.0,0.0
강원,0.0,0.0,0.0,0.0,0.0,0.00051760310660485,0.00056205100064535,0.0,0.0030362175401450905
강원도,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015232202474128567
강전,0.0,0.0,0.0,0.0,0.0,0.0,0.00039950069369385,0.0,0.0
강제,0.0,0.0,0.0,0.0,0.00051790465639255,0.0,0.0,0.0,0.0
강조,0.0010442532781193,0.00081628465720835,0.0004949242058089,0.00086026607927155,0.00110822132857835,0.0006575582609619,0.0006811789786651,0.00040034010729095,0.008669009990417961
강조 하다,0.00093903830567035,0.0007370308278763,0.00042382206079965,0.000771312517594,0.0009941991457155,0.0005683085226353,0.00063366409170705,0.0,0.00217730890824415
강하다,0.0,0.0,0.0,0.0,0.0,0.0004009102022286,0.0007645683502103,0.0004907981391588,0.0027341259525408648
강화,0.00117373526992755,0.0010533479267799,0.0,0.00104964610315625,0.0012645979219629,0.0007867441870968,0.0,0.0,0.00099354888266325
강화하다,0.00108641103618535,0.00084989743728635,0.0,0.00080815765480845,0.0008758958740876,0.00069292643394425,0.0,0.0,0.00069191130144745
갖다,0.00052136414977635,0.0,0.00062921189959705,0.00055562147784465,0.0005502150871437,0.000460048065981,0.00065622732586385,0.00050386870551825,0.003952590821190433
갖추다,0.00078929212607805,0.00064844351481395,0.0,0.0006984743836833,0.0004590585128958,0.00067479514502875,0.0004295480752504,0.0,0.0
같다,0.0020009115356955,0.0020287435857958,0.00261780309442165,0.00178958225109635,0.00175282645372755,0.0016118569341288,0.0021962835253002,0.003305997750415,0.022698600757755413
같다 기간,0.0,0.0006828638962833,0.0,0.0,0.0,0.0,0.0,0.0,0.0
같다 하다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004782639647328,0.0
개관,0.0,0.0,0.00047992629134785,0.0,0.0,0.0,0.0,0.0,0.0
개국,0.0004368987453776,0.0,0.00040686474346525,0.0,0.0,0.0,0.0,0.0,0.0
개그맨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046239599648355,0.0
개다,0.0,0.0,0.00046697673871275,0.00046109343432705,0.0,0.00054824493510445,0.0,0.0,0.0
개막,0.0,0.0,0.0006859045419088,0.0,0.0,0.0,0.00082074144651755,0.0,0.0
개막식,0.0,0.0,0.00042690707928255,0.0,0.0,0.0,0.0,0.0,0.0
개막전,0.0,0.0,0.0,0.0,0.0,0.0,0.0006593762096303,0.0,0.0
개발,0.00409996087908635,0.00218864441627215,0.00039998569614575,0.00307893244789245,0.0013698689063125,0.001657339028078,0.0,0.0,0.0020794090759419415
개발 하다,0.00102314866307605,0.0,0.0,0.00063931320250755,0.0,0.0,0.0,0.0,0.0
개발자,0.0005313785271195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
개방,0.0,0.0,0.0,0.0,0.0,0.0004426435624834,0.0,0.0,0.0
개별,0.0,0.0005537421165004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
개봉,0.0,0.0,0.00298082147423035,0.0,0.0,0.0,0.0,0.0,0.0
개봉 하다,0.0,0.0,0.00117227008875225,0.0,0.0,0.0,0.0,0.0,0.0
개선,0.00130175877983525,0.0020055990863901,0.0,0.00168390720112195,0.0014341283512526,0.0014637219365457,0.0,0.0,0.0013849490883756
